C:\ProgramData\Anaconda3\python.exe D:/pycharmproject/DECRA/decra.py
use cuda: True
MNIST samples (70000, 784)
Namespace(batch_size=256, cuda=True, dataset='mnist', gamma=0.1, lr=0.001, n_clusters=10, n_input=784, n_z=10, pretrain_path='data/ae_mnist.pkl', tol=0.0001, update_interval=1)
load pretrained ae from data/ae_mnist.pkl
nmi score=0.7752
Iter 355 :Acc 0.9614 , nmi 0.9134 , ari 0.9180
Iter 356 :Acc 0.9615 , nmi 0.9136 , ari 0.9183
Iter 357 :Acc 0.9615 , nmi 0.9134 , ari 0.9181
Iter 358 :Acc 0.9617 , nmi 0.9138 , ari 0.9185
Iter 359 :Acc 0.9616 , nmi 0.9136 , ari 0.9183
Iter 360 :Acc 0.9616 , nmi 0.9136 , ari 0.9184
Iter 361 :Acc 0.9617 , nmi 0.9140 , ari 0.9186
Iter 362 :Acc 0.9616 , nmi 0.9137 , ari 0.9183
Iter 363 :Acc 0.9614 , nmi 0.9134 , ari 0.9181
Iter 364 :Acc 0.9614 , nmi 0.9134 , ari 0.9181
Iter 365 :Acc 0.9616 , nmi 0.9136 , ari 0.9184
Iter 366 :Acc 0.9615 , nmi 0.9135 , ari 0.9183
